Time,SSID,IPV6,Channel,Signal Strength
2025-04-06 19:03:42,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,67
2025-04-06 19:03:42,iBus Wi-Fi,FC:11:65:51:75:80,149,52
2025-04-06 19:03:42,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,45
2025-04-06 19:03:42,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,25
2025-04-06 19:03:52,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,97
2025-04-06 19:03:52,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,67
2025-04-06 19:03:52,iBus Wi-Fi,FC:11:65:51:75:80,149,52
2025-04-06 19:03:52,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,45
2025-04-06 19:03:52,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,25
2025-04-06 19:04:07,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,97
2025-04-06 19:04:07,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,67
2025-04-06 19:04:07,iBus Wi-Fi,FC:11:65:51:75:80,149,52
2025-04-06 19:04:07,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,45
2025-04-06 19:04:07,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,25
2025-04-06 19:04:17,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:04:17,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,62
2025-04-06 19:04:17,iBus Wi-Fi,FC:11:65:51:75:80,149,52
2025-04-06 19:04:17,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,37
2025-04-06 19:04:17,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,30
2025-04-06 19:04:27,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:04:27,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,62
2025-04-06 19:04:27,iBus Wi-Fi,FC:11:65:51:75:80,149,52
2025-04-06 19:04:27,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,37
2025-04-06 19:04:27,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,30
2025-04-06 19:04:41,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:04:41,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,77
2025-04-06 19:04:41,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,62
2025-04-06 19:04:41,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,37
2025-04-06 19:04:41,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,30
2025-04-06 19:04:51,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,99
2025-04-06 19:04:51,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,77
2025-04-06 19:04:51,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,70
2025-04-06 19:04:51,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,49
2025-04-06 19:04:51,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,30
2025-04-06 19:05:01,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,99
2025-04-06 19:05:01,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,77
2025-04-06 19:05:01,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,70
2025-04-06 19:05:01,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,49
2025-04-06 19:05:01,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,30
2025-04-06 19:05:13,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,99
2025-04-06 19:05:13,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,77
2025-04-06 19:05:13,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,70
2025-04-06 19:05:13,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,49
2025-04-06 19:05:13,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,30
2025-04-06 19:05:23,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:05:23,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,70
2025-04-06 19:05:23,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,55
2025-04-06 19:05:23,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,49
2025-04-06 19:05:23,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,27
